	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YCRX04w	3	-1.56121	0.50435	-0.59988	-0.71679	0.10164	0.75118	2.01131	0.85511	-0.01528	-1.41831	-1.08054	-0.98960	0.01070	0.20556	0.85511	1.42671	-0.34006	
YDL096c	3	0.40848	-0.43323	0.61890	0.95559	-0.30698	-0.26489	-0.93826	-0.13863	-0.05446	-1.44328	0.99767	1.79729	2.00772	-0.43323	-1.27494	-0.81200	-0.68574	
YEL018w	3	-0.81842	0.27394	0.61889	0.99259	1.76874	0.70513	-0.55971	0.07271	-1.04840	-1.24962	-1.59458	-0.78968	0.50391	1.51003	-1.07714	0.64764	0.04396	
YER019w	3	-0.37770	-0.52640	1.92032	2.46103	0.92000	-0.05328	0.06838	-0.36418	-1.05359	-0.31011	-0.48584	-0.55343	0.78483	0.17653	-0.52640	-0.95897	-1.12118	
YFR026C	3	1.30555	1.60266	2.55342	0.20623	0.14681	-0.53655	-0.98222	-0.80395	-0.83366	0.08739	0.14681	0.32508	-0.35828	-0.32857	-1.01193	-0.74453	-0.77424	
YFR027W	3	-0.41517	0.64094	2.85621	1.25916	-0.28638	-0.41517	-0.64700	-0.90459	-0.72428	0.64094	0.74398	0.46063	-0.23486	-0.36366	-0.85307	-0.77580	-0.98187	
YFR038w	3	-1.09329	0.55037	2.00437	1.43541	0.61358	-0.33468	0.42393	0.04462	0.04462	-1.72547	0.67680	0.92967	-0.08181	-0.77721	-0.39790	-1.09329	-1.21973	
YKL066W	3	-0.26985	-1.01234	-0.27317	0.89691	0.73118	-0.44885	-0.61790	-1.36038	-0.85655	2.42829	0.36325	1.15214	-0.80020	0.03510	-1.23111	0.70135	0.56213	
YLL061w	3	-0.71279	-0.60799	-0.22809	1.69759	2.94208	0.91160	-0.39839	-0.69969	-0.41149	-0.39839	-0.79139	-0.45079	-0.09709	-0.71279	-0.49009	0.08631	0.36140	
YNL072W	3	-1.16680	0.15557	1.28560	0.10749	-0.13294	-0.92637	-0.92637	-1.40723	-0.42146	1.95881	1.11730	1.71838	0.17962	0.03536	-0.27720	-0.46955	-0.83019	
YIL050w	4	-1.46188	-1.74081	-1.04350	-0.40198	1.46681	2.02465	0.65793	0.10008	0.10008	-1.07139	-0.82036	0.18376	0.35111	0.74161	0.51847	0.23955	0.15587	
YIL106w	4	-1.36396	-1.03654	-1.18537	-1.06631	-0.45611	0.58568	1.56794	1.19587	1.98466	0.13920	-0.06916	-0.56029	-0.75377	-0.03940	1.10658	0.04990	-0.09893	
YBL097w	4	-1.81637	-1.08263	-0.96034	-1.02148	1.66890	1.36318	1.42432	0.69058	-0.16545	-0.34889	-0.59347	-0.16545	0.26256	0.93516	0.44600	-0.83805	0.20142	
YKL049c	4	-1.72573	-1.77645	0.40458	0.92194	1.72334	0.69876	0.01910	-0.35624	-0.97505	-0.85332	-0.43740	0.15097	0.62775	1.24656	0.97266	0.04953	-0.69101	
YCL014w	4	-0.92310	-0.94508	-1.07696	-0.59342	0.35166	0.85717	1.78027	2.21985	0.85717	-1.16487	-0.74728	-0.74728	-0.21979	0.41760	0.26374	-0.50551	0.17583	
YOR188w	4	-0.80905	0.04942	0.65219	0.90790	1.27321	2.25955	1.16362	0.41473	-0.79079	-0.90038	-0.99171	-0.06017	-0.09670	-0.22456	-0.31589	-1.10130	-1.43008	
YJR076c	4	-1.00311	-1.37785	-0.43406	0.35242	1.07414	1.51827	0.72716	1.07877	-0.55435	-1.39635	-0.39243	-0.78567	-0.23050	1.54603	1.12040	-0.36467	-0.87820	
YJL099w	4	0.29454	-1.59894	-1.09401	-0.18935	-0.31558	2.06179	1.89348	0.00000	0.14727	-0.29454	-1.36751	-0.65220	-0.21039	1.15713	0.48389	0.08415	-0.39973	
YKL048c	4	-0.87490	-1.57719	-1.27621	0.07820	0.73032	1.23195	0.70523	-0.49868	-0.27295	-1.50194	-1.05048	-0.19770	1.20687	1.23195	1.23195	0.45442	0.37917	
YBR038w	4	-1.03506	-1.26889	-0.95155	-0.77617	-0.63420	-0.18324	1.77930	1.77095	1.81270	0.11741	-0.27510	-0.78452	-0.26675	-0.52563	0.61013	0.60178	0.00884	
YJL092w	4	-1.27678	-1.10499	-0.08172	1.00877	1.65858	2.25611	0.55315	-0.11907	-0.70913	-0.71659	-0.71659	-0.23857	0.03032	1.01624	0.05272	-0.66431	-0.94814	
YCR084c	4	-1.57833	0.08352	-0.19077	1.06772	1.34201	0.90638	1.27747	1.09999	-0.77161	-0.73934	-1.01363	-0.90068	0.42234	0.79344	0.51915	-0.91682	-1.40085	
YGL255w	4	-1.37568	-0.68707	-1.05086	-0.59613	-0.27131	0.30036	1.28779	0.58619	0.19642	-0.66109	-1.25874	-1.01189	-0.07643	0.59918	1.31377	2.11931	0.58619	
YLR014c	4	-0.44395	3.40084	0.35349	-0.55787	-1.18443	-0.84267	0.23957	0.58133	0.18261	-0.30155	-0.33003	-0.72875	-0.27307	-0.35851	0.43893	0.15413	-0.33003	
YJL137c	4	-0.61994	-0.83114	-2.09834	-0.09193	1.59767	1.97783	0.58391	0.98519	-0.09193	-0.66218	-0.87338	-0.74666	-0.00745	0.45719	0.71063	0.18263	-0.47210	
YOR274w	4	1.55805	0.98949	-0.02018	-1.07887	-0.95143	-0.03979	0.92087	1.78351	1.47962	-0.49071	-0.96124	-0.97104	-0.61814	-0.59854	-0.58874	-0.92203	0.50916	
YBR104w	4	-2.14592	0.08034	1.34346	-0.48807	-0.98542	-0.86701	0.73558	0.36454	-0.44860	-0.93016	-0.51965	-0.33018	0.28560	0.47507	1.70661	1.49346	0.23033	
YJR112w	4	-1.60405	-1.49495	-0.14205	1.32723	1.19630	0.52712	-0.00385	-0.81850	-0.54210	-0.78940	-0.88396	-0.09113	0.54167	1.92366	0.94172	0.42529	-0.51301	
YCR073c	4	-1.74076	-1.08277	-0.22231	-0.34041	0.01389	2.25783	2.35906	0.16574	-0.34041	-0.18857	-0.22231	-0.39103	-0.28980	-0.27292	0.19948	0.48630	-0.39103	
YDL198c	4	-1.25558	-1.25558	-1.25963	-0.60250	-0.14412	-0.07111	-0.15223	-0.48892	-0.54976	-0.52542	-0.20497	0.05464	0.40755	1.12553	1.42165	2.20048	1.29996	
YLL046c	4	2.15286	1.17416	0.40031	0.10443	0.71896	1.33349	0.42307	-0.16869	-0.82874	-1.12463	-1.80744	-1.23843	-0.37354	0.10443	-0.05489	-0.21421	-0.60114	
YDR389w	4	-0.69146	0.02136	-1.02770	-1.65983	0.22310	1.82359	1.21837	-0.18038	-0.34178	-0.81251	-0.09968	-0.82596	-1.09495	1.29906	0.55934	1.46046	0.12896	
YDR464w	4	-0.27668	1.42526	-0.95745	0.16686	1.61092	1.80690	-0.09101	0.13591	-0.44171	-1.30815	-1.19469	-0.69958	-0.42108	1.33242	0.00182	0.04308	-1.13280	
YKL068w	4	-0.79216	0.15118	-0.36887	0.14513	0.41120	0.93124	0.85263	2.70906	-0.22979	-1.05218	0.26002	-0.93124	-0.43539	0.29630	0.62889	-1.23964	-1.33639	
YIL131c	4	-1.22318	-1.08276	-1.04766	0.12252	2.02992	2.24055	0.82463	0.23954	0.12252	-0.76681	-0.96574	-0.45086	0.18103	0.43847	0.07572	-0.14662	-0.59129	
YDR451c	4	-1.34835	-0.55538	-0.69283	-0.33336	1.15741	2.17241	-0.07961	-0.40736	-0.70340	-1.18975	-0.73512	-0.35450	0.52304	1.84465	0.86137	0.06841	-0.22763	
YCR085w	4	-0.98824	-0.23340	-0.85275	0.11499	1.79887	2.06983	1.27628	0.46338	-0.52372	-1.02695	-0.93017	-0.85275	-0.42695	0.77306	0.32789	0.03757	-1.02695	
YMR003w	4	-0.98436	-1.06608	-0.79158	0.92667	1.67683	1.71455	0.72341	-0.24886	-0.81672	-1.23161	-0.94245	-0.38297	0.09060	1.43167	0.63750	-0.12523	-0.61137	
YNR009w	4	-1.91695	-1.45471	-0.64774	0.29633	1.36576	1.38535	0.40994	-0.42837	-0.79660	-0.97680	-0.32260	0.72332	0.94269	1.30700	0.12397	0.60189	-0.61249	
YOR073w	4	-1.18673	-1.58288	-0.90942	0.71483	1.47744	1.50715	0.44743	0.31867	-0.22604	-1.32538	-1.19663	-0.03787	0.87330	1.27936	0.42762	-0.28547	-0.29537	
YMR215w	4	-1.04043	-1.07532	-1.06995	-0.34797	1.14432	1.47981	1.25167	-0.02052	-0.83376	-0.92770	-0.65662	-0.69688	0.06536	1.98976	0.69878	0.52164	-0.48217	
YLL047w	4	1.92118	2.06658	0.32180	-0.09622	-0.00535	1.23054	0.84887	-0.49606	-0.67781	-0.96861	-1.11401	-1.27758	-0.76869	-0.18709	0.15823	-0.29614	-0.65964	
YDR366c	4	-0.48524	1.56423	0.36017	-0.12659	-0.43401	1.15434	1.61547	-0.97199	-0.33153	-0.84390	-1.43313	-1.30503	-0.74143	1.07748	0.97501	0.61635	-0.69019	
YIL158w	4	-1.67510	-1.61588	-1.18953	-0.86977	0.45369	1.05769	1.35673	1.03993	0.61062	-0.17695	-0.44342	-0.75430	-0.69212	0.60469	0.29381	1.17908	0.82083	
YGL101w	4	-1.63380	-1.11162	-1.23864	-0.01079	0.11623	0.21502	1.03358	0.08800	-0.33539	-1.36565	-0.68822	0.10211	0.77954	1.30173	1.76746	1.21705	-0.23660	
YJR110w	4	-0.87560	-0.96054	-1.47016	0.35599	0.69573	2.28830	0.99301	0.65327	-0.11117	-1.74621	-0.23857	-0.51462	0.44092	0.54709	0.80191	-0.42968	-0.42968	
YOL012c	4	-1.85783	-1.69400	-1.33990	-0.25119	1.15990	0.31430	0.40943	-0.14021	-0.45731	-0.14549	-0.17720	0.47814	0.19803	1.27089	1.33431	1.41358	-0.51544	
YBL032w	4	-1.42755	-0.89344	-1.21891	-0.80164	2.03577	0.29994	1.75203	0.83404	-0.21747	-0.50121	-1.04366	-0.43445	0.20814	0.60037	0.90081	0.29994	-0.39272	
YBR043c	4	-1.25303	-0.80186	-0.76964	-0.58702	0.51941	-0.02843	1.47545	0.78796	-0.24328	-0.69444	-1.44639	-1.14561	-0.04992	0.22937	1.80846	1.31432	0.88464	
YCL012w	4	-1.20791	-1.00994	-1.47786	-0.61401	0.51979	0.73576	1.49162	2.06753	1.29366	0.60978	-0.82997	-0.82997	0.01588	-0.38005	0.01588	-0.18209	-0.21808	
YCL013w	4	-0.94921	-0.62996	-0.94921	-0.48485	0.09560	0.96628	1.66282	2.44642	0.96628	-0.94921	-0.42680	-0.77507	0.50192	-0.92018	-0.13658	-0.36876	-0.04951	
YCL062w	4	-1.24101	-1.00760	-1.61747	0.21215	1.35660	0.91990	1.33402	1.46954	0.91990	-0.88713	-1.19583	-0.79678	0.39285	0.09168	0.24227	0.23474	-0.42784	
YCL063w	4	-1.09911	-0.59311	-1.03740	-0.17351	1.38151	1.01127	1.25810	2.20838	0.62869	-1.32125	-0.92633	-0.67950	0.40654	-0.39565	-0.25990	-0.13648	-0.27224	
YCR086w	4	-0.80252	-0.06143	0.47755	0.56177	0.62914	2.09448	0.51124	-0.22986	-0.86989	-0.71831	-1.69520	-1.32466	0.20806	1.18496	0.56177	0.71335	-1.24044	
YDR324C	4	-2.00807	1.28729	-0.12622	-1.06289	-1.16507	1.03183	1.65344	0.29102	0.60608	-0.38168	-0.78189	-0.87556	-0.72228	0.53796	0.20587	0.89559	0.61459	
YDR325W	4	-1.31705	0.26294	-0.52706	-0.12706	0.38294	1.66293	0.78294	-0.47706	-0.34706	-1.38705	-1.36705	-0.89705	-0.03706	1.66293	0.43294	1.55293	-0.25706	
YIL169C	4	-1.35047	-2.05392	-0.13542	1.55925	1.89498	0.91975	0.93574	0.02445	0.08840	-0.67900	-0.72696	-0.64702	0.20031	0.26426	0.53605	-0.27931	-0.55110	
YKL052C	4	-1.20226	-1.13471	-0.12147	1.50935	2.08834	1.48040	0.92071	0.13907	-0.01533	-1.42420	-0.65222	-0.40132	-0.02498	0.22592	-0.17937	-0.35307	-0.85486	
YKL053W	4	-1.55893	-1.04410	0.54717	2.40756	1.70553	0.24296	-0.02615	-1.13771	-0.20166	-0.70479	-0.82179	-0.35377	0.44187	0.54717	-0.08466	0.39507	-0.35377	
YKL069W	4	-0.60113	0.57930	-0.24700	1.00089	2.02112	1.21168	0.23361	0.52028	-0.74447	-1.10703	-1.46959	-0.76976	-0.23013	1.00089	0.52871	-0.39877	-1.52861	
YPL116W	4	-0.77558	-1.31756	-0.36171	0.61386	1.80621	2.02300	0.29852	-0.16462	-0.75587	0.02261	-1.06135	-0.78543	-0.45039	0.56458	0.19998	1.25437	-1.11062	
YPL264C	4	-0.45945	-1.44754	-0.69471	1.04622	0.99917	1.32853	-0.55355	-0.31829	-0.69471	-1.49460	-1.25934	-0.36535	0.43454	0.95211	0.90506	1.61084	0.01107	
YGR108w	5	-1.49391	-0.82181	-1.12649	-1.10857	-0.59777	0.64785	1.57087	1.09592	0.96150	-0.51712	-0.73219	-0.81284	-0.60673	0.48655	1.11384	1.09592	0.84500	
YPR119w	5	-1.38564	-0.89396	-1.16215	-0.99081	-0.14154	0.52148	1.57188	2.05611	1.07275	-0.31289	-0.69282	-0.94611	-0.44698	-0.08195	0.64812	0.53638	0.64812	
YAL040c	5	-0.21050	-0.36441	-0.92235	-0.92663	0.19352	-1.01855	0.41157	0.23628	-0.09293	3.45564	0.36026	-0.17202	-0.72568	-0.20622	0.16573	0.12084	-0.30456	
YGL116w	5	-0.96489	-0.94733	-0.84196	-0.85952	-0.75415	-0.24484	1.26552	2.33682	1.59920	-0.06922	-0.31509	-0.70146	-0.61365	-0.56096	0.24691	0.47521	0.94940	
YOL069w	5	-1.02006	-1.62852	-1.39190	-0.54682	-0.51301	1.07574	1.44757	1.65039	0.83911	-0.71583	-0.41160	-1.05386	0.39967	0.39967	0.60249	0.06164	0.80531	
YGR092w	5	-1.29288	-1.07937	-1.04379	-1.20985	-0.65237	0.01186	1.17426	1.76732	1.82663	0.61678	0.01186	-0.15420	-0.65237	-0.48631	-0.35584	0.75912	0.75912	
YBR138c	5	-0.85589	-1.15043	-1.39588	-1.05225	-0.68899	-0.09009	1.03897	2.00113	1.49060	-0.12937	-0.60063	-0.74790	-0.14900	-0.14900	0.68552	1.03897	0.75425	
YOR058c	5	-0.35455	-0.10600	-1.47302	-0.47882	-0.64452	0.63965	1.88239	1.57170	1.38529	-0.54096	-0.85164	-1.61800	-0.35455	-0.37526	0.26682	0.22540	0.82606	
YHR023w	5	-1.21582	-1.45476	-1.27907	-1.26501	-0.46384	0.46384	1.86941	1.49693	0.68873	0.34436	-0.23895	-0.55520	-0.70981	0.31625	0.47789	0.60439	0.92065	
YPL242C	5	-1.35876	-1.04049	-1.30089	-1.09835	0.69555	0.77271	1.51534	2.06509	0.70519	-0.16282	-0.39430	-0.61612	-0.78973	-0.30749	0.09758	0.64733	0.57017	
YJR092w	5	-1.54126	-1.10426	-1.17864	-1.21583	0.67163	0.14166	0.05797	1.91755	1.86176	0.03008	-0.89971	-0.47200	0.13236	0.14166	0.45778	0.76461	0.23463	
YLR353w	5	-1.59764	-1.44301	-1.46510	-0.70299	0.03703	0.50093	1.02005	1.00900	1.52812	0.33525	-0.96807	-0.78030	-0.11760	-0.00715	0.89855	1.05318	0.69974	
YCL037C	5	-1.51473	-0.32149	-0.99913	-0.86655	2.09445	0.48873	1.56412	1.32842	0.42981	0.68024	-0.99913	-0.96967	-0.29203	-0.07106	-0.43934	0.20884	-0.32149	
YMR001c	5	-1.36982	-1.25043	-1.35192	-0.96390	-0.57588	0.30760	1.39405	1.71044	0.98216	-0.46246	-0.57588	-0.67736	0.05092	0.06286	0.71353	1.07767	0.92843	
YGL021w	5	-1.45763	-1.29567	-1.10334	-1.01224	-0.25306	0.54661	1.41714	1.19444	0.71869	-0.45551	-0.91102	-0.74906	-0.32392	0.92114	1.00212	1.39689	0.36441	
YCR042c	5	0.06828	0.36415	-1.02418	-1.36558	-1.33144	-0.94452	-0.13656	1.69559	1.50214	1.50214	0.62589	-0.37553	-0.94452	-0.72831	0.36415	-0.14794	0.87625	
YOR025w	5	-1.29071	-1.35026	-1.14185	-1.09719	-0.75481	0.55516	1.04640	0.86777	2.28195	-0.24869	-0.32312	-0.82924	0.12347	0.43608	0.48073	0.57005	0.67425	
YOR229w	5	-0.62432	-0.09195	-1.12271	-1.04342	-0.95280	-0.59034	0.78023	1.67507	1.47118	1.53915	0.10061	-0.89617	-1.17935	-0.73759	0.06663	0.74625	0.85952	
YDR146c	5	-1.55821	-1.37461	-0.95554	-0.97150	-0.75199	0.11410	0.48927	0.31765	0.37752	0.11410	-0.19322	-0.61629	-0.24910	1.69860	0.92431	2.04584	0.58905	
YLR131c	5	-1.38950	-1.68414	-1.42317	-0.87599	0.05001	0.39516	1.01811	0.82449	1.25382	0.71505	-0.73288	-1.06119	0.10052	1.00969	0.25205	1.28749	0.26047	
YNL053w	5	-0.89511	-0.73054	-1.30022	-0.71788	0.21894	1.13043	1.71278	1.86469	0.86458	-1.16096	-0.85713	-0.45202	-0.41405	-0.37607	0.11766	1.15575	-0.16085	
YKL130C	5	-1.19589	-0.66203	-1.37625	-1.13096	-0.42395	0.26142	0.61492	2.15880	1.69708	0.05941	-0.53938	-0.46002	-0.95060	0.42735	0.58606	0.92514	0.00891	
YIL162w	5	1.16196	-1.05585	-1.82470	-0.96714	-0.28701	0.12698	0.77754	1.90123	1.81252	-0.13916	0.30441	-0.46444	-0.49401	-0.84886	-0.46444	0.06784	0.39312	
YDL138W	5	0.96886	0.90853	-1.14276	-1.67713	-0.79801	-0.74629	-0.04816	1.10677	1.33086	0.95163	-0.00507	-1.28928	-1.17724	-0.16021	-0.00507	1.31362	0.46897	
YDL048c	5	1.41932	-1.28183	-1.15587	-0.40011	0.83150	0.71954	0.88748	1.40532	0.71954	-0.68002	-0.77799	-0.70801	-0.90395	-1.39380	-0.45609	0.53760	1.23737	
YGR143w	5	-0.51452	-0.69195	-1.27744	-0.94034	-1.06453	-0.51452	0.99357	1.38389	2.00487	0.03548	-0.07097	-0.51452	-0.88711	-0.69195	0.42581	1.18873	1.13550	
YKL129c	5	0.32385	-0.78405	-1.56810	-1.43175	-0.01704	0.00000	0.28976	2.57373	0.76701	0.63065	0.03409	-1.07381	-1.10790	-0.05113	0.59656	0.44316	0.37498	
YIL167w	5	1.51620	-0.45624	-1.52603	-1.72662	-1.59289	-0.72369	-0.28908	0.51327	1.38248	0.44640	0.17895	-0.02163	-0.22222	0.04523	0.81415	0.31268	1.34904	
YHR152w	5	-1.13878	-1.01612	-0.90047	-0.66917	-0.46941	-0.07339	1.14620	1.87865	0.71514	1.44409	0.24553	-0.97757	-1.06869	-0.87594	0.01422	0.48734	1.25835	
YPR167C	5	-1.13289	-0.81416	-0.72684	-0.00642	1.49117	1.08948	-0.03262	-0.54346	-0.98880	-1.32500	-0.95388	-0.63951	-0.14177	0.85371	1.22483	1.41258	1.23357	
YJL079c	5	-0.21862	0.26751	-0.68907	-0.62635	-0.99487	-0.96350	-0.32055	2.00818	2.18068	0.51058	0.10285	-0.56362	-0.88509	-0.98702	-0.44601	0.40081	1.22410	
YAR018c	5	-0.51926	-0.87977	-0.91068	-0.75102	-0.66347	-0.75617	0.74254	2.40605	2.07129	0.34082	0.10906	-0.29265	-0.48836	-0.92098	-0.27205	0.04726	0.73739	
YAL022c	5	-1.05980	-1.09261	-0.60048	-1.24259	-1.26602	-1.30821	0.86184	1.03057	0.79154	1.05870	0.23380	-0.26771	-0.62860	-0.07554	0.90871	1.20399	1.45240	
YGR279c	5	-1.47399	-0.79084	-0.65155	-1.32144	-1.14899	-0.36635	0.40966	0.94026	1.26526	2.06780	-0.41941	-0.41278	-0.16074	-0.34645	0.54894	1.17904	0.68159	
YGL201c	5	-0.97243	0.59023	-0.47896	-1.24658	-1.54815	-0.86277	0.69989	1.65942	1.41269	1.41269	0.48057	0.09676	-1.27400	-0.47896	-0.28705	0.23383	0.56282	
YNL057w	5	-1.27558	-1.30034	-1.33334	-1.23432	-1.15181	-0.61546	0.67177	0.62226	1.36489	0.75428	0.20143	0.25094	-0.07087	-0.23590	0.55625	1.29063	1.50517	
YML119w	5	-1.05678	-1.21085	-0.81284	-0.99900	-1.31036	-0.50148	1.28959	1.67797	1.24144	0.41973	-0.03606	-0.63309	-0.73580	0.05381	0.41331	1.26712	0.93330	
YOL137w	5	-0.46828	0.00557	-1.58184	-2.03200	-0.79998	-0.30243	0.40835	1.33237	1.94837	0.19512	-0.30243	-0.25504	-0.18397	-0.04181	-0.01812	1.40344	0.69266	
YPL186c	5	3.23773	0.86637	-0.18962	-0.54162	-0.31931	-0.04141	0.06975	0.36617	-0.24520	-1.00478	-0.81951	-0.61573	-0.72688	-0.68983	-0.50457	0.84785	0.31059	
YCL038c	5	-0.58980	-0.97933	-1.25344	-0.56095	-0.76292	-0.04158	0.99715	1.60308	1.77620	1.50209	0.05940	-0.38783	-0.33012	-1.61411	0.26138	-0.20028	0.52106	
YML033w	5	-1.28602	-1.02272	-1.50071	-1.03892	-0.03431	0.00620	0.50445	1.88173	0.58141	0.07911	-0.73511	-0.83233	-0.40699	0.28975	0.85282	1.52526	1.13638	
YML034w	5	-1.20180	-1.10214	-1.65028	-0.70349	-0.17197	0.55889	1.20669	2.35279	0.94092	-0.48756	-0.80315	-0.60383	0.14363	0.34295	0.39278	0.55889	0.22668	
YKR021w	5	-0.21421	-0.53870	-0.46659	-0.82714	-1.12760	0.32662	1.67267	2.11735	1.24001	-0.51467	-1.66843	-0.63485	-0.41852	-0.32237	0.18240	0.80735	0.38671	
YPR157w	5	0.80899	-1.42791	-0.82036	-0.35089	-0.26804	0.20143	1.52701	1.91363	0.22905	-0.43373	-0.70990	-1.56599	-1.01367	-0.48897	0.75376	0.91945	0.72614	
YJL051w	5	-0.52341	-1.00321	-1.33034	-0.92687	-0.42527	1.04682	1.48300	1.75561	1.14496	0.76331	-0.86145	-1.16677	-0.88326	0.02181	0.31623	0.78512	-0.19628	
YOL014w	5	0.46467	-0.63364	-1.71386	-0.90521	-0.68796	-0.37415	1.61127	1.45437	0.51295	-0.31984	-0.52502	-1.30350	-0.54312	-0.30777	1.03797	1.14056	1.09228	
YOR315w	5	-1.19286	-1.14464	-0.99396	-1.00602	-0.66246	0.17532	1.03420	1.30844	0.36819	-0.55699	-0.67753	-0.61425	-0.20138	0.10601	0.76599	2.22759	1.06434	
YGR230w	5	-0.14239	-0.25569	-0.58530	-0.80161	-0.72950	-0.34839	0.76404	2.09278	2.04128	0.44473	-0.66770	-0.94581	-1.28572	-0.75010	-0.39989	0.79494	0.77434	
YLR190w	5	-0.99469	-1.29062	-0.87058	-1.07424	-0.36781	0.04268	1.83420	2.04104	0.93367	-0.03369	-0.42509	-0.81649	-0.60647	-0.38691	0.34816	0.73956	0.92730	
YMR032w	5	-1.08587	-1.03498	-0.87667	-0.89364	-0.84275	-0.00599	1.25482	2.64000	0.89862	0.22582	-0.28868	-0.69010	-0.75229	-0.15864	0.71205	0.51416	0.38413	
YOL070c	5	-1.11647	-1.24691	-1.00185	-1.15995	-1.13228	-0.34573	0.31434	0.66217	0.90722	1.21947	0.14438	-0.03348	-0.57498	-0.10858	0.23924	2.30642	0.92699	
YLR297W	5	-0.14081	-1.39266	-1.17806	-0.87660	-0.64411	-0.95579	0.38036	1.34608	0.58986	1.32308	0.19131	-0.57002	-1.00944	-0.66710	0.74570	1.29754	1.56068	
YHL028W	5	-0.94301	-0.96956	-0.95628	-0.83685	-0.63778	0.29118	1.52537	2.16237	0.62295	-0.86339	-0.61124	-0.71741	-0.41218	-0.23966	0.29118	0.92818	1.36612	
YHR151C	5	-1.15354	-0.91849	-1.15354	-0.51554	-0.88491	-0.38122	1.06268	2.00290	2.03648	0.29036	0.52542	-0.34764	-0.61628	-0.75059	0.76047	-0.04543	0.08889	
YNL058C	5	-1.23773	-1.34831	-1.12189	-1.09029	-0.95602	-0.40840	0.47886	0.60260	0.64210	1.28450	0.03655	0.21032	-0.64008	-0.16618	0.46043	2.11647	1.13707	
