	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDR389w	4	5.23644	5.48480	5.09375	4.75359	5.54518	5.92693	5.79909	5.42053	5.36598	5.18739	5.44674	5.18178	5.06260	5.81711	5.63835	5.85220	5.51745
YDR464w	4	5.86363	6.24804	5.65599	5.97889	6.28227	6.31716	5.91350	5.97126	5.81711	5.52943	5.57215	5.73979	5.82305	6.23048	5.93754	5.94803	5.59471
YKL068w	4	6.16542	6.44889	6.30262	6.44731	6.51471	6.63463	6.61740	6.96130	6.34388	6.07074	6.47697	6.11589	6.28227	6.48616	6.56667	5.99645	5.95584
YIL131c	4	3.95124	4.15888	4.20469	5.11799	5.79909	5.85220	5.42495	5.17615	5.11799	4.51086	4.30407	4.77068	5.14749	5.26786	5.09375	4.96981	4.66344
YDR451c	4	4.07754	4.89784	4.79579	5.04343	5.69036	5.97126	5.18739	4.99721	4.78749	4.30407	4.76217	5.03044	5.46383	5.88888	5.59099	5.26269	5.10595
YCR085w	4	4.11087	4.60517	4.21951	4.77068	5.32301	5.38907	5.18178	4.91265	4.44265	4.07754	4.15888	4.21951	4.49981	5.02388	4.85981	4.73620	4.07754
YMR003w	4	6.18826	6.10479	6.36130	7.24351	7.47136	7.48156	7.17166	6.73102	6.34036	5.91080	6.22851	6.65157	6.90776	7.40245	7.13966	6.79906	6.49979
YNR009w	4	4.53260	5.35186	6.03309	6.48920	6.83626	6.84162	6.53233	6.15910	5.93754	5.80814	6.21461	6.64249	6.71296	6.82002	6.41999	6.60123	6.05444
YOR073w	4	4.89035	4.53260	5.08140	5.78383	5.99645	6.00389	5.69709	5.65249	5.43808	4.77912	4.88280	5.51745	5.83188	5.94542	5.69036	5.41165	5.40717
YMR215w	4	6.21060	6.18415	6.18826	6.62804	7.17931	7.27031	7.20934	6.77765	6.35437	6.29157	6.46303	6.43935	6.81344	7.39449	7.04403	6.98472	6.55962
YLL047w	4	5.50533	5.53733	5.06260	4.90527	4.94164	5.33754	5.23111	4.72739	4.63473	4.46591	4.36945	4.24850	4.58497	4.86753	5.00395	4.82028	4.64439
YDR366c	4	4.49981	5.13580	4.81218	4.64439	4.52179	5.03695	5.14749	4.26268	4.56435	4.33073	3.97029	4.06044	4.38203	5.01728	4.99043	4.89035	4.40672
YIL158w	4	5.07517	5.19296	5.78074	6.06843	6.77878	6.98749	7.07665	6.98193	6.83733	6.50129	6.35611	6.15486	6.19848	6.83518	6.71538	7.02465	6.91075
YGL101w	4	4.62497	4.93447	4.86753	5.37990	5.42053	5.45104	5.67332	5.41165	5.26786	4.79579	5.12990	5.41610	5.60947	5.73657	5.83773	5.71703	5.30330
YJR110w	4	4.64439	4.60517	4.33073	5.08760	5.18178	5.53339	5.25750	5.17048	4.94164	4.14313	4.89784	4.79579	5.11199	5.14166	5.20949	4.82831	4.82831
YOL012c	4	5.23644	5.38907	5.65599	6.19848	6.63200	6.39526	6.42487	6.24028	6.11589	6.23832	6.22654	6.44572	6.35784	6.65929	6.67456	6.69332	6.09131
YBL032w	4	5.47227	5.71043	5.57215	5.74620	6.48158	6.09807	6.42811	6.23245	5.94803	5.85507	5.64897	5.87774	6.07304	6.17587	6.24804	6.09807	5.89164
YBR043c	4	5.57595	5.72359	5.73334	5.78690	6.06146	5.93489	6.24998	6.11810	5.88053	5.75574	5.50533	5.61313	5.92959	5.99645	6.30810	6.22059	6.13773
YCL012w	4	3.95124	4.14313	3.61092	4.44265	4.99721	5.07517	5.30827	5.45532	5.25227	5.03044	4.29046	4.29046	4.78749	4.58497	4.78749	4.69135	4.67283
YCL013w	4	3.17805	3.55535	3.17805	3.68888	4.09434	4.49981	4.73620	4.94876	4.49981	3.17805	3.73767	3.40120	4.30407	3.21888	3.95124	3.78419	4.00733
YCL062w	4	5.53339	5.64897	5.31321	6.10032	6.39359	6.29157	6.38856	6.41836	6.29157	5.70378	5.55683	5.74300	6.15273	6.06379	6.10925	6.10702	5.88888
YCL063w	4	4.71850	5.03044	4.76217	5.23111	5.74620	5.64545	5.71373	5.94017	5.52943	4.54329	4.83628	4.98361	5.45532	5.12990	5.19296	5.24702	5.18739
YCR086w	4	5.12990	5.36129	5.50126	5.52146	5.53733	5.83188	5.50939	5.31321	5.10595	5.15906	4.75359	4.92725	5.43372	5.65948	5.52146	5.55683	4.96284
YDR324C	4	5.42935	6.42162	6.10702	5.82600	5.78996	6.37161	6.48920	6.21060	6.28227	6.03787	5.91889	5.88888	5.93754	6.26720	6.19032	6.34388	6.28413
YDR325W	4	5.50126	5.99894	5.78074	5.89715	6.02828	6.29711	6.12030	5.79606	5.83481	5.47227	5.48064	5.65948	5.92158	6.29711	6.04025	6.27664	5.86079
YIL169C	4	4.43082	3.68888	5.07517	5.58350	5.65948	5.42053	5.42495	5.13580	5.15906	4.83628	4.81218	4.85203	5.19850	5.22036	5.30827	5.01728	4.89784
YKL052C	4	5.37528	5.40717	5.79301	6.20859	6.32257	6.20254	6.07764	5.87212	5.82600	5.26269	5.60947	5.70044	5.82305	5.89715	5.77455	5.71703	5.52943
YKL053W	4	5.45104	5.62402	6.02345	6.34914	6.23832	5.95842	5.89715	5.59471	5.85507	5.72359	5.69036	5.81711	6.00141	6.02345	5.88332	5.99146	5.81711
YKL069W	4	6.06843	6.34914	6.16121	6.43294	6.61070	6.47235	6.27476	6.33683	6.02828	5.91889	5.79606	6.02102	6.16542	6.43294	6.33859	6.12249	5.77455
YPL116W	4	5.65249	5.43808	5.78996	6.05444	6.30445	6.34388	5.97635	5.84932	5.65948	5.90263	5.54518	5.64897	5.76205	6.04263	5.95064	6.19644	5.52545
YPL264C	4	4.11087	3.68888	4.02535	4.53260	4.52179	4.59512	4.07754	4.15888	4.02535	3.66356	3.78419	4.14313	4.38203	4.51086	4.49981	4.65396	4.26268
YGR108w	5	3.89182	4.82028	4.49981	4.52179	5.00395	5.66296	5.96871	5.82305	5.77765	5.06260	4.89784	4.82831	4.99721	5.59842	5.82895	5.82305	5.73657
YPR119w	5	4.52179	5.06260	4.80402	4.97673	5.55683	5.85220	6.19236	6.31716	6.04501	5.46383	5.22036	5.01728	5.38450	5.58725	5.89990	5.85793	5.89990
YAL040c	5	6.98934	6.92067	6.62274	6.62007	7.14992	6.56103	7.22694	7.16549	7.03878	7.93737	7.20934	7.00579	6.73815	6.99118	7.13966	7.12287	6.94794
YGL116w	5	3.61092	3.63759	3.78419	3.76120	3.89182	4.35671	5.09987	5.41610	5.20949	4.47734	4.30407	3.95124	4.04305	4.09434	4.66344	4.77912	4.98361
YOL069w	5	3.04452	1.09861	2.30259	3.55535	3.58352	4.41884	4.54329	4.60517	4.33073	3.40120	3.66356	2.99573	4.14313	4.14313	4.23411	3.97029	4.31749
YGR092w	5	4.72739	4.87520	4.89784	4.78749	5.11799	5.40717	5.77144	5.91620	5.92959	5.61313	5.40717	5.34233	5.11799	5.19850	5.25750	5.65599	5.65599
YBR138c	5	4.83628	4.56435	4.26268	4.66344	4.96284	5.31812	5.76519	6.03309	5.89990	5.29832	5.02388	4.91998	5.28827	5.28827	5.64545	5.76519	5.66988
YOR058c	5	4.70048	4.80402	4.02535	4.64439	4.56435	5.06260	5.38450	5.31321	5.26786	4.61512	4.45435	3.89182	4.70048	4.69135	4.94164	4.92725	5.11799
YHR023w	5	5.01728	4.76217	4.95583	4.96981	5.55296	5.96615	6.38012	6.28600	6.04501	5.92158	5.66988	5.50126	5.40717	5.91080	5.97126	6.01616	6.12030
YPL242C	5	5.26786	5.42495	5.29832	5.39816	6.00881	6.02828	6.19848	6.30810	6.01127	5.76205	5.68358	5.60212	5.53339	5.71373	5.84354	5.99645	5.97635
YJR092w	5	3.89182	4.56435	4.47734	4.43082	5.65948	5.43808	5.39816	6.04263	6.02828	5.38450	4.77068	5.09987	5.43372	5.43808	5.57595	5.69373	5.48064
YLR353w	5	4.67283	4.79579	4.77912	5.23644	5.54126	5.69373	5.84064	5.83773	5.96615	5.64191	5.09987	5.19850	5.48480	5.52545	5.80814	5.84932	5.75257
YCL037C	5	5.23644	5.59471	5.40717	5.44674	6.07074	5.78074	5.98394	5.94280	5.76832	5.82008	5.40717	5.41610	5.60212	5.65599	5.56452	5.72031	5.59471
YMR001c	5	4.45435	4.66344	4.48864	5.03695	5.38907	5.90536	6.30810	6.40026	6.17379	5.47227	5.38907	5.30827	5.78074	5.78690	6.07535	6.20658	6.15486
YGL021w	5	4.39445	4.57471	4.75359	4.82831	5.29832	5.63121	5.89990	5.83773	5.69036	5.19296	4.90527	5.01728	5.26269	5.75574	5.78074	5.89440	5.56452
YCR042c	5	5.45532	5.56068	4.92725	4.68213	4.70953	4.97673	5.37528	5.93225	5.88610	5.88610	5.64545	5.27300	4.97673	5.09987	5.56068	5.37064	5.72031
YOR025w	5	3.49651	3.36730	3.76120	3.82864	4.23411	5.05625	5.24702	5.18178	5.60947	4.63473	4.58497	4.15888	4.85203	5.00395	5.02388	5.06260	5.10595
YOR229w	5	5.08140	5.33754	4.76217	4.82028	4.88280	5.09987	5.65249	5.89715	5.84644	5.86363	5.41610	4.91998	4.71850	5.01728	5.40268	5.64191	5.67675
YDR146c	5	4.79579	5.11799	5.60580	5.59099	5.77765	6.29157	6.45205	6.38182	6.40688	6.29157	6.13773	5.87774	6.10702	6.84268	6.61070	6.93147	6.49072
YLR131c	5	4.99721	4.72739	4.96981	5.34233	5.76519	5.88610	6.07304	6.01859	6.13556	5.98645	5.42053	5.23111	5.78383	6.07074	5.83773	6.14419	5.84064
YNL053w	5	5.11199	5.18739	4.89784	5.19296	5.53733	5.78690	5.91889	5.95064	5.72031	4.97673	5.12990	5.30330	5.31812	5.33272	5.50533	5.79301	5.41165
YKL130C	5	5.80513	6.00635	5.72685	5.83188	6.08450	6.28040	6.36819	6.68085	6.59715	6.22654	6.04737	6.07304	5.90263	6.32257	6.36130	6.43935	6.21261
YIL162w	5	5.01728	4.33073	3.91202	4.36945	4.62497	4.75359	4.92725	5.17048	5.15329	4.67283	4.80402	4.56435	4.55388	4.41884	4.56435	4.73620	4.82831
YDL138W	5	6.34212	6.32972	5.77765	5.56452	5.89440	5.91080	6.10925	6.36990	6.41346	6.33859	6.12030	5.72359	5.76519	6.07993	6.12030	6.41017	6.23441
YDL048c	5	5.62402	4.43082	4.53260	4.99043	5.45959	5.42495	5.47646	5.62040	5.42495	4.84419	4.78749	4.82831	4.70953	4.33073	4.96284	5.36598	5.57595
YGR143w	5	4.30407	4.15888	3.43399	3.91202	3.76120	4.30407	5.06890	5.19850	5.37528	4.65396	4.59512	4.30407	3.97029	4.15888	4.84419	5.13580	5.11799
YKL129c	5	5.41165	5.06890	4.72739	4.79579	5.31812	5.32301	5.40268	5.87493	5.52146	5.48894	5.33272	4.95583	4.94164	5.30827	5.48064	5.44242	5.42495
YIL167w	5	4.87520	4.27667	3.68888	3.52636	3.63759	4.15888	4.34381	4.61512	4.84419	4.59512	4.51086	4.44265	4.36945	4.46591	4.70048	4.55388	4.83628
YHR152w	5	6.51471	6.56526	6.61070	6.69580	6.76388	6.88653	7.19068	7.33694	7.09340	7.25276	6.97541	6.58064	6.54391	6.62007	6.91175	7.03791	7.21450
YPR167C	5	5.93489	6.11147	6.15486	6.45520	6.88653	6.78784	6.44572	6.24028	6.01859	5.81114	6.03787	6.19644	6.40523	6.72503	6.82220	6.86797	6.82437
YJL079c	5	5.21494	5.50533	4.82028	4.88280	4.44265	4.48864	5.14166	6.14847	6.19441	5.62402	5.41610	4.94164	4.59512	4.45435	5.04343	5.57215	5.90808
YAR018c	5	5.34233	4.93447	4.89035	5.09987	5.19850	5.09375	6.11810	6.65544	6.56808	5.92959	5.80212	5.53339	5.37064	4.87520	5.54908	5.76519	6.11589
YAL022c	5	5.75574	5.73334	6.02587	5.62402	5.60580	5.57215	6.58755	6.63595	6.56667	6.64379	6.38351	6.18415	6.01127	6.26530	6.60123	6.68336	6.74759
YGR279c	5	5.51343	5.86079	5.91889	5.60212	5.69373	6.02828	6.27664	6.41673	6.49375	6.66185	6.00881	6.01127	6.10032	6.03548	6.31536	6.47389	6.35089
YGL201c	5	4.30407	4.87520	4.52179	4.15888	3.97029	4.35671	4.90527	5.13580	5.08140	5.08140	4.84419	4.72739	4.14313	4.52179	4.59512	4.77068	4.86753
YNL057w	5	4.55388	4.52179	4.47734	4.60517	4.70048	5.16479	5.80212	5.78383	6.02828	5.83188	5.61313	5.63479	5.48480	5.39816	5.75890	6.00635	6.06843
YML119w	5	5.78383	5.62402	5.99396	5.83773	5.50533	6.21060	6.96224	7.07072	6.94794	6.66568	6.46614	6.12468	6.05209	6.50877	6.66313	6.95559	6.85118
YOL137w	5	4.99043	5.11799	4.60517	4.39445	4.89035	5.03695	5.21494	5.40717	5.51745	5.16479	5.03695	5.04986	5.06890	5.10595	5.11199	5.42053	5.27811
YPL186c	5	5.52943	4.82028	4.20469	3.87120	4.09434	4.31749	4.39445	4.57471	4.15888	3.13549	3.49651	3.78419	3.63759	3.68888	3.91202	4.81218	4.54329
YCL038c	5	5.15329	4.98361	4.84419	5.16479	5.08140	5.35186	5.64545	5.78383	5.82008	5.76205	5.38450	5.23111	5.25227	4.62497	5.44674	5.29832	5.52146
YML033w	5	5.55683	5.78074	5.32788	5.76832	6.34212	6.35957	6.55251	6.94794	6.57925	6.39024	5.97889	5.91620	6.16542	6.47389	6.66823	6.85961	6.75344
YML034w	5	3.85015	3.97029	2.99573	4.34381	4.69135	5.03044	5.25750	5.56452	5.17048	4.49981	4.26268	4.41884	4.85203	4.94164	4.96284	5.03044	4.89035
YKR021w	5	5.21494	5.05625	5.09375	4.89035	4.68213	5.43372	5.83188	5.93489	5.72031	5.06890	4.14313	5.00395	5.11799	5.16479	5.37990	5.59471	5.45532
YPR157w	5	4.60517	2.94444	3.71357	4.06044	4.11087	4.35671	4.83628	4.94164	4.36945	4.00733	3.80666	2.63906	3.52636	3.97029	4.58497	4.64439	4.57471
YJL051w	5	5.16479	4.87520	4.61512	4.92725	5.21494	5.76519	5.88332	5.95064	5.79301	5.68017	4.96981	4.75359	4.95583	5.41610	5.52943	5.68698	5.32301
YOL014w	5	6.11368	5.59842	4.51086	5.41610	5.56452	5.74620	6.46459	6.42325	6.13123	5.77455	5.66296	5.06890	5.65249	5.78074	6.30445	6.33505	6.32077
YOR315w	5	4.99043	5.09375	5.36129	5.34233	5.77765	6.39859	6.78672	6.88449	6.49979	5.88053	5.76205	5.82600	6.16542	6.35957	6.68085	7.15618	6.79794
YGR230w	5	5.29832	5.24175	5.05625	4.91265	4.96284	5.19296	5.66296	6.03309	6.02102	5.54908	5.00395	4.80402	4.48864	4.94876	5.16479	5.67332	5.66643
YLR190w	5	5.76519	5.42053	5.88053	5.68358	6.24611	6.46925	7.09672	7.14913	6.82979	6.43133	6.21060	5.92693	6.08904	6.23441	6.60800	6.76157	6.82763
YMR032w	5	3.80666	3.98898	4.40672	4.36945	4.47734	5.46383	6.12905	6.55678	5.98141	5.62402	5.22575	4.74493	4.64439	5.34233	5.89440	5.79301	5.72031
YOL070c	5	6.03309	5.95064	6.10032	6.00635	6.02345	6.41673	6.65801	6.76504	6.83411	6.91572	6.60123	6.53814	6.31716	6.51026	6.63332	7.15696	6.83948
YLR297W	5	7.03878	6.47697	6.59851	6.74759	6.84907	6.71052	7.20341	7.45124	7.26263	7.44600	7.14677	6.87936	6.68461	6.83948	7.30452	7.44015	7.49887
YHL028W	5	1.38629	0.69315	1.09861	2.48491	3.29584	4.57471	5.24702	5.47227	4.80402	2.30259	3.36730	3.04452	3.78419	4.04305	4.57471	4.97673	5.18178
YHR151C	5	3.68888	3.85015	3.68888	4.07754	3.87120	4.14313	4.66344	4.89784	4.90527	4.41884	4.49981	4.15888	4.02535	3.95124	4.57471	4.29046	4.34381
YNL058C	5	5.66988	5.51343	5.81114	5.84644	5.98394	6.40523	6.84801	6.89669	6.91175	7.12930	6.65157	6.73340	6.24804	6.54679	6.84055	7.35500	7.08339
